,duration,down,right,left,up
0,119.0,0.226890756302521,0.2605042016806723,0.226890756302521,0.2857142857142857
1,30.0,0.16666666666666666,0.5333333333333333,0.03333333333333333,0.26666666666666666
2,4.0,0.0,0.25,0.25,0.5
3,31.0,0.12903225806451613,0.06451612903225806,0.0,0.8064516129032258
4,4.0,0.0,0.0,0.0,1.0
5,102.0,0.17647058823529413,0.049019607843137254,0.5784313725490197,0.19607843137254902
6,23.0,0.13043478260869565,0.0,0.8260869565217391,0.043478260869565216
7,23.0,0.34782608695652173,0.0,0.6521739130434783,0.0
8,20.0,0.6,0.0,0.4,0.0
9,1.0,1.0,0.0,0.0,0.0
10,7.0,0.7142857142857143,0.0,0.2857142857142857,0.0
11,124.0,0.5080645161290323,0.12096774193548387,0.3709677419354839,0.0
12,31.0,0.4838709677419355,0.06451612903225806,0.45161290322580644,0.0
13,37.0,0.21621621621621623,0.2972972972972973,0.4864864864864865,0.0
14,25.0,0.08,0.24,0.68,0.0
15,120.0,0.25833333333333336,0.4083333333333333,0.3333333333333333,0.0
16,15.0,0.26666666666666666,0.5333333333333333,0.2,0.0
17,78.0,0.2564102564102564,0.5256410256410257,0.21794871794871795,0.0
18,208.0,0.19230769230769232,0.6346153846153846,0.16826923076923078,0.004807692307692308
19,11.0,0.09090909090909091,0.7272727272727273,0.18181818181818182,0.0
20,175.0,0.09714285714285714,0.64,0.26285714285714284,0.0
21,32.0,0.375,0.375,0.25,0.0
22,55.0,0.2,0.5636363636363636,0.23636363636363636,0.0
23,48.0,0.125,0.375,0.5,0.0
24,22.0,0.45454545454545453,0.3181818181818182,0.22727272727272727,0.0
25,125.0,0.28,0.424,0.296,0.0
26,40.0,0.65,0.275,0.075,0.0
27,231.0,0.4805194805194805,0.39826839826839827,0.12121212121212122,0.0
28,45.0,0.35555555555555557,0.5333333333333333,0.1111111111111111,0.0
29,189.0,0.544973544973545,0.31746031746031744,0.13756613756613756,0.0
30,34.0,0.38235294117647056,0.35294117647058826,0.2647058823529412,0.0
31,30.0,0.6,0.3,0.1,0.0
